dataset	pair_id	pair_type	independent_unit_id	cohort_role	direction	pair_file_id	method	epsilon0	tau0	stage	physical_id	alpha	beta	u	v	regularization_regime	epsilon	tau	converged	iterations	seconds
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_h001	grid__u0p500000__v0p500000__fixed	0.4975	0.4975	0.995	0.5	fixed	0.25	2.0	True	85	3.835757900000317
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	endpoint	grid__u0p500000__v0p500000__coregularized	0.25	0.25	0.5	0.5	coregularized	0.125	1.0	True	85	3.9095550999918487
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_h001	grid__u0p500000__v0p500000__coregularized	0.4975	0.4975	0.995	0.5	coregularized	0.24875	1.99	True	85	3.6979032999952324
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	endpoint	grid__u0p500000__v0p750000__fixed	0.125	0.375	0.5	0.75	fixed	0.25	2.0	True	85	3.639393400022527
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_h001	grid__u0p500000__v0p750000__fixed	0.49625	0.49875	0.9950000000000001	0.5012562814070352	fixed	0.25	2.0	True	85	3.640177900000708
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	endpoint	grid__u0p500000__v0p750000__coregularized	0.125	0.375	0.5	0.75	coregularized	0.125	1.0	True	85	3.6182562000176404
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_h001	grid__u0p500000__v0p750000__coregularized	0.49625	0.49875	0.9950000000000001	0.5012562814070352	coregularized	0.24875000000000003	1.9900000000000002	True	85	3.587573299999349
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	endpoint	grid__u0p500000__v1p000000__fixed	0.0	0.5	0.5	1.0	fixed	0.25	2.0	True	85	3.641983000008622
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_h001	grid__u0p500000__v1p000000__fixed	0.495	0.5	0.995	0.5025125628140703	fixed	0.25	2.0	True	85	3.8905156000109855
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	endpoint	grid__u0p500000__v1p000000__coregularized	0.0	0.5	0.5	1.0	coregularized	0.125	1.0	True	85	3.7729738999914844
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_h001	grid__u0p500000__v1p000000__coregularized	0.495	0.5	0.995	0.5025125628140703	coregularized	0.24875	1.99	True	85	3.687691500002984
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	endpoint	grid__u0p750000__v0p000000__fixed	0.75	0.0	0.75	0.0	fixed	0.25	2.0	True	85	3.6523405000043567
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_h001	grid__u0p750000__v0p000000__fixed	0.5025	0.495	0.9974999999999999	0.4962406015037594	fixed	0.25	2.0	True	85	3.6193176999804564
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	endpoint	grid__u0p750000__v0p000000__coregularized	0.75	0.0	0.75	0.0	coregularized	0.1875	1.5	True	80	3.4921821000170894
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_h001	grid__u0p750000__v0p000000__coregularized	0.5025	0.495	0.9974999999999999	0.4962406015037594	coregularized	0.24937499999999999	1.9949999999999999	True	85	3.668456800020067
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	endpoint	grid__u0p750000__v0p250000__fixed	0.5625	0.1875	0.75	0.25	fixed	0.25	2.0	True	85	4.0010710999777075
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_h001	grid__u0p750000__v0p250000__fixed	0.500625	0.496875	0.9975	0.4981203007518797	fixed	0.25	2.0	True	85	3.7058274000009988
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	endpoint	grid__u0p750000__v0p250000__coregularized	0.5625	0.1875	0.75	0.25	coregularized	0.1875	1.5	True	80	3.4368995999975596
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_h001	grid__u0p750000__v0p250000__coregularized	0.500625	0.496875	0.9975	0.4981203007518797	coregularized	0.249375	1.995	True	85	3.7051069000153802
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	endpoint	grid__u0p750000__v0p500000__fixed	0.375	0.375	0.75	0.5	fixed	0.25	2.0	True	85	3.6934613999910653
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_h001	grid__u0p750000__v0p500000__fixed	0.49875	0.49875	0.9975	0.5	fixed	0.25	2.0	True	85	3.7156490000197664
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	endpoint	grid__u0p750000__v0p500000__coregularized	0.375	0.375	0.75	0.5	coregularized	0.1875	1.5	True	85	3.599652100005187
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_h001	grid__u0p750000__v0p500000__coregularized	0.49875	0.49875	0.9975	0.5	coregularized	0.249375	1.995	True	85	3.5631241999799386
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	endpoint	grid__u0p750000__v0p750000__fixed	0.1875	0.5625	0.75	0.75	fixed	0.25	2.0	True	85	3.66548349999357
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_h001	grid__u0p750000__v0p750000__fixed	0.496875	0.500625	0.9975	0.5018796992481203	fixed	0.25	2.0	True	85	3.7610608999966644
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	endpoint	grid__u0p750000__v0p750000__coregularized	0.1875	0.5625	0.75	0.75	coregularized	0.1875	1.5	True	85	3.6054657000058796
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_h001	grid__u0p750000__v0p750000__coregularized	0.496875	0.500625	0.9975	0.5018796992481203	coregularized	0.249375	1.995	True	85	3.6417111000046134
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	endpoint	grid__u0p750000__v1p000000__fixed	0.0	0.75	0.75	1.0	fixed	0.25	2.0	True	85	3.669004199997289
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_h001	grid__u0p750000__v1p000000__fixed	0.495	0.5025	0.9974999999999999	0.5037593984962406	fixed	0.25	2.0	True	85	3.7033404000103474
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	endpoint	grid__u0p750000__v1p000000__coregularized	0.0	0.75	0.75	1.0	coregularized	0.1875	1.5	True	85	3.6699708999949507
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_h001	grid__u0p750000__v1p000000__coregularized	0.495	0.5025	0.9974999999999999	0.5037593984962406	coregularized	0.24937499999999999	1.9949999999999999	True	85	3.74342769998475
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	endpoint	grid__u1p000000__v0p000000__shared	1.0	0.0	1.0	0.0	fixed	0.25	2.0	True	80	3.4612644000153523
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_h001	grid__u1p000000__v0p000000__shared	0.505	0.495	1.0	0.495	fixed	0.25	2.0	True	85	3.766949700016994
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	endpoint	grid__u1p000000__v0p250000__shared	0.75	0.25	1.0	0.25	fixed	0.25	2.0	True	80	3.428532299993094
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_h001	grid__u1p000000__v0p250000__shared	0.5025	0.4975	1.0	0.4975	fixed	0.25	2.0	True	85	3.6177839000010863
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	endpoint	grid__u1p000000__v0p750000__shared	0.25	0.75	1.0	0.75	fixed	0.25	2.0	True	85	3.575985400006175
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_h001	grid__u1p000000__v0p750000__shared	0.4975	0.5025	1.0	0.5025	fixed	0.25	2.0	True	85	3.6372124000045005
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	endpoint	grid__u1p000000__v1p000000__shared	0.0	1.0	1.0	1.0	fixed	0.25	2.0	True	85	3.658082799986005
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_h001	grid__u1p000000__v1p000000__shared	0.495	0.505	1.0	0.505	fixed	0.25	2.0	True	85	3.575585399987176
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	endpoint	factor__expression_compensation_only__fixed	0.5	1.0	1.5	0.6666666666666666	fixed	0.25	2.0	True	80	3.4249516999989282
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_h001	factor__expression_compensation_only__fixed	0.5	0.505	1.005	0.5024875621890548	fixed	0.25	2.0	True	85	3.754784299992025
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	endpoint	factor__expression_compensation_only__coregularized	0.5	1.0	1.5	0.6666666666666666	coregularized	0.375	3.0	True	85	3.640539100015303
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_h001	factor__expression_compensation_only__coregularized	0.5	0.505	1.005	0.5024875621890548	coregularized	0.25125	2.01	True	85	3.659562899993034
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	endpoint	factor__spatial_compensation_only__fixed	1.0	0.5	1.5	0.3333333333333333	fixed	0.25	2.0	True	80	3.3951507000019774
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_h001	factor__spatial_compensation_only__fixed	0.505	0.5	1.005	0.49751243781094534	fixed	0.25	2.0	True	85	3.6115935999841895
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	endpoint	factor__spatial_compensation_only__coregularized	1.0	0.5	1.5	0.3333333333333333	coregularized	0.375	3.0	True	85	3.5805357999925036
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	finite_h001	factor__spatial_compensation_only__coregularized	0.505	0.5	1.005	0.49751243781094534	coregularized	0.25125	2.01	True	85	3.611991500016302
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		baseline	baseline	0.5	0.5	1.0	0.5	fixed	0.25		True	1	0.03781760000856593
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		endpoint	grid__u0p500000__v0p000000__fixed	0.5	0.0	0.5	0.0	fixed	0.25		True	1	0.043777700018836185
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		finite_h001	grid__u0p500000__v0p000000__fixed	0.5	0.495	0.995	0.49748743718592964	fixed	0.25		True	1	0.03685459998087026
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		endpoint	grid__u0p500000__v0p000000__coregularized	0.5	0.0	0.5	0.0	coregularized	0.125		True	1	0.038757899979827926
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		finite_h001	grid__u0p500000__v0p000000__coregularized	0.5	0.495	0.995	0.49748743718592964	coregularized	0.24875		True	1	0.03755399998044595
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		endpoint	grid__u0p500000__v0p250000__fixed	0.375	0.125	0.5	0.25	fixed	0.25		True	1	0.04052660000161268
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		finite_h001	grid__u0p500000__v0p250000__fixed	0.49875	0.49625	0.9950000000000001	0.4987437185929648	fixed	0.25		True	1	0.037772600015159696
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		endpoint	grid__u0p500000__v0p250000__coregularized	0.375	0.125	0.5	0.25	coregularized	0.125		True	1	0.037523700011661276
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		finite_h001	grid__u0p500000__v0p250000__coregularized	0.49875	0.49625	0.9950000000000001	0.4987437185929648	coregularized	0.24875000000000003		True	1	0.03976499999407679
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		endpoint	grid__u0p500000__v0p500000__fixed	0.25	0.25	0.5	0.5	fixed	0.25		True	1	0.03733049999573268
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		finite_h001	grid__u0p500000__v0p500000__fixed	0.4975	0.4975	0.995	0.5	fixed	0.25		True	1	0.038445599988335744
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		endpoint	grid__u0p500000__v0p500000__coregularized	0.25	0.25	0.5	0.5	coregularized	0.125		True	1	0.037805400002980605
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		finite_h001	grid__u0p500000__v0p500000__coregularized	0.4975	0.4975	0.995	0.5	coregularized	0.24875		True	1	0.03921319998335093
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		endpoint	grid__u0p500000__v0p750000__fixed	0.125	0.375	0.5	0.75	fixed	0.25		True	1	0.03714959998615086
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		finite_h001	grid__u0p500000__v0p750000__fixed	0.49625	0.49875	0.9950000000000001	0.5012562814070352	fixed	0.25		True	1	0.03798230001120828
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		endpoint	grid__u0p500000__v0p750000__coregularized	0.125	0.375	0.5	0.75	coregularized	0.125		True	1	0.03709789999993518
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		finite_h001	grid__u0p500000__v0p750000__coregularized	0.49625	0.49875	0.9950000000000001	0.5012562814070352	coregularized	0.24875000000000003		True	1	0.03749919999972917
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		endpoint	grid__u0p500000__v1p000000__fixed	0.0	0.5	0.5	1.0	fixed	0.25		True	1	0.03657339999335818
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		finite_h001	grid__u0p500000__v1p000000__fixed	0.495	0.5	0.995	0.5025125628140703	fixed	0.25		True	1	0.0382056999951601
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		endpoint	grid__u0p500000__v1p000000__coregularized	0.0	0.5	0.5	1.0	coregularized	0.125		True	1	0.03758119998383336
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		finite_h001	grid__u0p500000__v1p000000__coregularized	0.495	0.5	0.995	0.5025125628140703	coregularized	0.24875		True	1	0.038763799995649606
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		endpoint	grid__u0p750000__v0p000000__fixed	0.75	0.0	0.75	0.0	fixed	0.25		True	1	0.03685790000599809
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		finite_h001	grid__u0p750000__v0p000000__fixed	0.5025	0.495	0.9974999999999999	0.4962406015037594	fixed	0.25		True	1	0.03802989999530837
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		endpoint	grid__u0p750000__v0p000000__coregularized	0.75	0.0	0.75	0.0	coregularized	0.1875		True	1	0.04045400000177324
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		finite_h001	grid__u0p750000__v0p000000__coregularized	0.5025	0.495	0.9974999999999999	0.4962406015037594	coregularized	0.24937499999999999		True	1	0.038578799983952194
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		endpoint	grid__u0p750000__v0p250000__fixed	0.5625	0.1875	0.75	0.25	fixed	0.25		True	1	0.04329669999424368
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		finite_h001	grid__u0p750000__v0p250000__fixed	0.500625	0.496875	0.9975	0.4981203007518797	fixed	0.25		True	1	0.04512259998591617
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		endpoint	grid__u0p750000__v0p250000__coregularized	0.5625	0.1875	0.75	0.25	coregularized	0.1875		True	1	0.037366800010204315
