check	pass	detail
fidelity_row_softmax_I_EXPR	True	"{""source"":""real"",""method"":""row_softmax"",""intervention"":""I_EXPR"",""proxy"":""finite_difference_sensitivity_h001"",""biological_or_seed_pairs"":7,""independent_units"":3,""technologies"":2,""median_spearman"":0.9473502788,""median_top_decile_precision"":0.85,""median_raw_mae"":0.0171402798,""median_reference_mad"":0.0136958508,""median_normalized_mae"":1.1468280238,""nmae_estimable_pairs"":7,""spearman_gate_margin"":0.2473502788,""top_decile_gate_margin"":0.25,""nmae_gate_margin"":-0.3968280238,""rank_fidelity_pass"":true,""full_fidelity_pass"":false,""gate_unit"":""direction-averaged biological pair"",""inference_note"":""Gate decision only; independent-unit sensitivity reported separately""}"
spatial_fd_gate_passes	True	passes=0
registered_v1.2_gate_immutable	True	passes=0
corrective_real_gate_with_controls	True	[('balanced_ot', 'heldout_loss', 'finite_difference_I_EXPR_h001'), ('uot', 'heldout_loss', 'exact_I_EXPR'), ('uot', 'heldout_loss', 'finite_difference_I_EXPR_h001')]
exact_combined_gate_with_controls	True	passes=0 expected
p1_endpoint_step	True	"{""endpoint_steps"": [0.005, 0.01, 0.02, 0.05], ""interpretation"": ""local finite-difference response; requires additional solver evaluations"", ""methods"": [""balanced_ot"", ""uot"", ""row_softmax""], ""pairs"": [""STAR_8M_D1_D2"", ""ST_E15_5_S1_S2"", ""ST_DEV_E13_5_E14_5""], ""rows"": 72, ""stage"": ""V1_3_ENDPOINT_SENSITIVITY"", ""status"": ""COMPLETED"", ""updated_utc"": ""2026-07-16T15:47:46.796748+00:00""}"
p1_label_agnostic_sampling	True	"{""directions"": 6, ""methods"": [""balanced_ot"", ""uot"", ""row_softmax""], ""pairs"": [""STAR_8M_D1_D2"", ""ST_E15_5_S1_S2"", ""ST_DEV_E13_5_E14_5""], ""purpose"": ""selection-bias sensitivity; not an independent biological replication"", ""sampling_mode"": ""label_agnostic"", ""stage"": ""V1_3_LABEL_AGNOSTIC_SENSITIVITY"", ""status"": ""COMPLETED"", ""tasks"": 18, ""updated_utc"": ""2026-07-16T15:57:29.482069+00:00""}"
p1_coordinate_frame	True	"{""canonicalization"": ""label-free PCA frame with symmetric Chamfer selection"", ""interpretation"": ""coordinate-frame sensitivity, not independent biological validation"", ""methods"": [""balanced_ot"", ""uot"", ""row_softmax""], ""n"": 800, ""pairs"": [""STAR_8M_D1_D2"", ""ST_E15_5_S1_S2""], ""stage"": ""V1_3_COORDINATE_SENSITIVITY"", ""status"": ""COMPLETED"", ""tasks"": 36, ""updated_utc"": ""2026-07-16T15:54:17.835217+00:00"", ""variants"": [""baseline"", ""rotate90"", ""reflect_x"", ""canonical_baseline"", ""canonical_rotate90"", ""canonical_reflect_x""]}"
p1_frozen_coupling_baseline	True	"{""baseline_scope"": ""WaX-inspired fixed-coupling group cost; not exact WaX reproduction"", ""biological_pairs"": [""STAR_8M_D1_D2"", ""ST_E15_5_S1_S2"", ""ST_DEV_E13_5_E14_5""], ""directions"": 6, ""methods"": [""balanced_ot"", ""uot""], ""stage"": ""V1_3_FROZEN_COUPLING_BASELINE"", ""status"": ""COMPLETED"", ""tasks"": 12, ""updated_utc"": ""2026-07-16T15:57:13.352278+00:00""}"
review_followup	True	"{""causal_claim_boundary"": ""NEX-AURC above one establishes anti-informative ranking for a witness; it does not identify the biological mechanism"", ""dlpfc_role"": ""retrospective negative context only; never pooled as prospective replication"", ""exact_conditions_median_worse_than_random"": 15, ""exact_summary_rows"": 27, ""stage"": ""V1_3_REVIEW_FOLLOWUP"", ""status"": ""COMPLETED"", ""stratified_rows"": 135}"
figure_Fig1	True	['Fig1_v13_design.png', 'Fig2_real_fidelity_corrected.png', 'Fig3_real_external_intervention_specific.png', 'Fig4_matched_dual_axis.png', 'Fig5_p1_sensitivities.png', 'Fig6_validity_cards_corrected.png', 'FigS1_robustness_corrected.png']
figure_Fig2	True	['Fig1_v13_design.png', 'Fig2_real_fidelity_corrected.png', 'Fig3_real_external_intervention_specific.png', 'Fig4_matched_dual_axis.png', 'Fig5_p1_sensitivities.png', 'Fig6_validity_cards_corrected.png', 'FigS1_robustness_corrected.png']
figure_Fig3	True	['Fig1_v13_design.png', 'Fig2_real_fidelity_corrected.png', 'Fig3_real_external_intervention_specific.png', 'Fig4_matched_dual_axis.png', 'Fig5_p1_sensitivities.png', 'Fig6_validity_cards_corrected.png', 'FigS1_robustness_corrected.png']
figure_Fig4	True	['Fig1_v13_design.png', 'Fig2_real_fidelity_corrected.png', 'Fig3_real_external_intervention_specific.png', 'Fig4_matched_dual_axis.png', 'Fig5_p1_sensitivities.png', 'Fig6_validity_cards_corrected.png', 'FigS1_robustness_corrected.png']
figure_Fig5	True	['Fig1_v13_design.png', 'Fig2_real_fidelity_corrected.png', 'Fig3_real_external_intervention_specific.png', 'Fig4_matched_dual_axis.png', 'Fig5_p1_sensitivities.png', 'Fig6_validity_cards_corrected.png', 'FigS1_robustness_corrected.png']
figure_Fig6	True	['Fig1_v13_design.png', 'Fig2_real_fidelity_corrected.png', 'Fig3_real_external_intervention_specific.png', 'Fig4_matched_dual_axis.png', 'Fig5_p1_sensitivities.png', 'Fig6_validity_cards_corrected.png', 'FigS1_robustness_corrected.png']
